province_code,province,province_id,year,Emissions_Tons,Poverty_Rate_Percent,Tax_Score,Tax_Rate,Tax_Rate_Rp_Per_Ton,Government_Revenue_Rp,Government_Revenue_Trillions,National_Total_Trillions,Contribution_Percent
31,DKI Jakarta,31,2010,18160690.0,3.48,0.41948384046554565,62.922576904296875,62922.576904296875,1142717413160.0952,1.1427174131600952,78.1124105928088,1.4629140292660439
31,DKI Jakarta,31,2011,20532920.0,3.75,0.42150935530662537,63.226402282714844,63226.402282714844,1298222659958.8013,1.2982226599588014,103.47364981626575,1.2546408310366999
31,DKI Jakarta,31,2012,29933630.0,3.695,0.43547117710113525,65.3206787109375,65320.6787109375,1955285027882.08,1.9552850278820801,78.72615407483158,2.483653686452818
31,DKI Jakarta,31,2013,33689700.0,3.635,0.44105666875839233,66.15850067138672,66158.50067138672,2228860040068.8174,2.228860040068817,123.95435609311565,1.7981296586256936
31,DKI Jakarta,31,2014,32744210.0,4.005,0.4374144971370697,65.61217498779297,65612.17498779297,2148418836357.0405,2.1484188363570405,96.7359508401548,2.2209104450806083
31,DKI Jakarta,31,2015,34185320.0,3.77,0.4409620463848114,66.1443099975586,66144.3099975586,2261164403445.7397,2.26116440344574,153.75591472698642,1.470619460370504
31,DKI Jakarta,31,2016,33759220.0,3.75,0.4404936730861664,66.07405090332031,66074.05090332031,2230608420736.389,2.230608420736389,95.39733471479137,2.3382292884861204
31,DKI Jakarta,31,2017,33203080.0,3.775,0.439571738243103,65.93576049804688,65935.76049804688,2189270330677.4902,2.1892703306774903,142.49052763509624,1.5364321874672182
31,DKI Jakarta,31,2018,39397780.0,3.56,0.449202299118042,67.3803482055664,67380.3482055664,2654636134926.3,2.6546361349263,130.05684757562045,2.0411352300253043
31,DKI Jakarta,31,2019,30756600.0,3.445,0.4379414916038513,65.69122314453125,65691.22314453125,2020438673767.0898,2.0204386737670896,166.97311581775486,1.210038312977477
31,DKI Jakarta,31,2020,65158670.0,4.61,0.4746822714805603,71.20233917236328,71202.33917236328,4639449721360.092,4.639449721360092,99.50137786527935,4.662698970502408
31,DKI Jakarta,31,2021,47068739.363091886,4.178783964170143,0.45543718338012695,68.31557750701904,68315.57750701904,3215528112116.982,3.215528112116982,123.44367022788359,2.604854591718592
31,DKI Jakarta,31,2022,46430924.58053738,4.287327288147062,0.4537736773490906,68.06605160236359,68066.05160236359,3160369708444.309,3.160369708444309,120.91342638475813,2.613745886571529
31,DKI Jakarta,31,2023,31878128.87746662,4.694828806575387,0.4304101765155792,64.56152647733688,64561.52647733688,2058100661570.5186,2.0581006615705184,191.78496065498481,1.0731293290890402
31,DKI Jakarta,31,2024,39002400.611216426,4.335079896785318,0.44349515438079834,66.52427315711975,66524.27315711975,2594606352043.976,2.594606352043976,196.38567731566025,1.3211790123948495
31,DKI Jakarta,31,2025,35552223.31758469,4.350503179840743,0.4386415481567383,65.79623222351074,65796.23222351074,2339202341465.916,2.339202341465916,160.23309227791265,1.4598746789512993
31,DKI Jakarta,31,2026,34649775.49889386,4.359778472185135,0.43731364607810974,65.59704691171646,65597.04691171646,2272922948881.384,2.2729229488813836,185.8465259730513,1.2230107272551163
31,DKI Jakarta,31,2027,35751081.93626225,4.259999619787559,0.43965813517570496,65.94872027635574,65948.72027635574,2357738102191.634,2.3577381021916337,247.10599362923398,0.9541403943966095
31,DKI Jakarta,31,2028,35106460.925510824,4.260109649412334,0.4387669563293457,65.81504344940186,65815.04344940186,2310533251167.223,2.310533251167223,277.70974505192873,0.8319957409975577
31,DKI Jakarta,31,2029,35116817.05557346,4.2417438970971855,0.4389282464981079,65.83923697471619,65839.23697471619,2312064439919.6562,2.312064439919656,197.20083671833044,1.172441495885774
31,DKI Jakarta,31,2030,35352217.3922205,4.216357931653038,0.43945470452308655,65.91820567846298,65918.20567846298,2330354737250.127,2.330354737250127,197.01718290465732,1.182818017643597
32,Jawa Barat,32,2010,48292590.0,11.27,0.36863118410110474,55.294677734375,55294.677734375,2670323201008.301,2.670323201008301,78.1124105928088,3.4185645798698943
32,Jawa Barat,32,2011,60461380.0,10.65,0.39264386892318726,58.89657974243164,58896.57974243164,3560968488507.4614,3.5609684885074615,103.47364981626575,3.441425420704246
32,Jawa Barat,32,2012,120364190.0,9.99,0.48303666710853577,72.45549774169922,72455.49774169922,8721047296726.456,8.721047296726455,78.72615407483158,11.077700161037763
32,Jawa Barat,32,2013,80187810.0,9.565,0.4330557882785797,64.95836639404297,64958.36639404297,5208869142315.902,5.208869142315902,123.95435609311565,4.202247751908737
32,Jawa Barat,32,2014,92337220.0,9.31,0.45269957184791565,67.90493774414062,67904.93774414062,6270153175567.017,6.270153175567017,96.7359508401548,6.481719692741465
32,Jawa Barat,32,2015,54960940.0,9.55,0.3993675112724304,59.905128479003906,59905.128479003906,3292442172026.825,3.292442172026825,153.75591472698642,2.141343425957293
32,Jawa Barat,32,2016,54948640.0,8.86,0.40852922201156616,61.27938461303711,61279.38461303711,3367218844523.3154,3.3672188445233155,95.39733471479137,3.529678113744228
32,Jawa Barat,32,2017,61345440.0,8.27,0.4250863194465637,63.76294708251953,63762.94708251953,3911566044473.877,3.911566044473877,142.49052763509624,2.7451411047413625
