province,year,emisi_bersih_scaled,poverty_scaled,province_id
Aceh,2010,0.023186978244524967,0.5257082896117524,11
Aceh,2011,0.022986959927360166,0.4834357667516115,11
Aceh,2012,0.012436617443186982,0.46694648478488987,11
Aceh,2013,0.019932148770352123,0.4261729875580873,11
Aceh,2014,0.004588012607932392,0.4218258132214061,11
Aceh,2015,0.09394190685571559,0.4092339979013641,11
Aceh,2016,0.07466640283119426,0.3937940338779793,11
Aceh,2017,0.00831492417055877,0.3885474441612952,11
Aceh,2018,0.010238778462370281,0.37115874681457056,11
Aceh,2019,0.010522654773639497,0.35137160845450455,11
Aceh,2020,0.00014216999053142122,0.3527207315245091,11
Sumatra Utara,2010,0.05491751402689444,0.23579673212411936,12
Sumatra Utara,2011,0.057929513006290984,0.23639634237745466,12
Sumatra Utara,2012,0.06311404784348063,0.21271173737070903,12
Sumatra Utara,2013,0.058324846704142376,0.20326787588067757,12
Sumatra Utara,2014,0.06072895250458084,0.18497976315394996,12
Sumatra Utara,2015,0.11801818168490184,0.21630939889072104,12
Sumatra Utara,2016,0.10836188288089613,0.20581621945735273,12
Sumatra Utara,2017,0.11716176149656006,0.18902713236396343,12
Sumatra Utara,2018,0.19956986015630707,0.1689401888772298,12
Sumatra Utara,2019,0.16071079872818467,0.1584470094438615,12
Sumatra Utara,2020,0.1763601841714084,0.16489281966721633,12
Sumatra Barat,2010,0.014381977181617161,0.18153200419727178,13
Sumatra Barat,2011,0.017469576416888778,0.16774096837055913,13
Sumatra Barat,2012,0.034535936749434525,0.13940938390046473,13
Sumatra Barat,2013,0.02452599036997582,0.13206415829710688,13
Sumatra Barat,2014,0.012480621914553517,0.11107779943037029,13
Sumatra Barat,2015,0.012323261218402338,0.10688052765702294,13
Sumatra Barat,2016,0.016977181175571614,0.11002848148703345,13
Sumatra Barat,2017,0.019924200145318528,0.10088442512366962,13
Sumatra Barat,2018,0.0354369133969924,0.09458851746364863,13
Sumatra Barat,2019,0.020011966213397795,0.08724329186029084,13
Sumatra Barat,2020,0.023565862704459612,0.08919202518363065,13
Riau,2010,0.36887990095659934,0.15604856843052017,14
Riau,2011,0.5112040285751304,0.1506520761505022,14
Riau,2012,0.52451093214144,0.14060860440713535,14
Riau,2013,1.0,0.13865987108379554,14
Riau,2014,0.707190957679489,0.13821016339379402,14
Riau,2015,0.6695804265285183,0.15514915305051716,14
Riau,2016,0.5839512358919633,0.13131464548043775,14
Riau,2017,0.6749782494707761,0.12441912756708141,14
Riau,2018,0.9295398108209578,0.11557487633038525,14
Riau,2019,0.7280322304380584,0.10628091740368763,14
Riau,2020,0.6334636407369859,0.10448208664368161,14
Jambi,2010,0.5068078207051614,0.14675460950382252,15
Jambi,2011,0.7212913989783191,0.15604856843052017,15
Jambi,2012,0.10191459855955017,0.14705441463049018,15
Jambi,2013,0.15946348282430192,0.14390646080047967,15
Jambi,2014,0.093087716698286,0.14120821466047068,15
Jambi,2015,0.0913633728948177,0.16624194273722082,15
Jambi,2016,0.0,0.14825363513716086,15
Jambi,2017,0.3537652592625107,0.13791035826712636,15
Jambi,2018,0.044464542199382784,0.1331134762404437,15
Jambi,2019,0.10495896610644463,0.12321990706041072,15
Jambi,2020,0.05247587305268622,0.1298156198470994,15
Sumatera Selatan,2010,0.13669764922947353,0.36051566481786845,16
Sumatera Selatan,2011,0.14111697435058188,0.3236396342377455,16
Sumatera Selatan,2012,0.16916566285836265,0.3053515215110179,16
Sumatera Selatan,2013,0.18333616245505827,0.3209413880977365,16
Sumatera Selatan,2014,0.1658794583948211,0.3093988907210314,16
Sumatera Selatan,2015,0.5069265422518437,0.31674411632438915,16
Sumatera Selatan,2016,0.2721946144885947,0.3004047369210014,16
Sumatera Selatan,2017,0.269359097064458,0.290810972867636,16
Sumatera Selatan,2018,0.043063861991379626,0.28076750112426924,16
Sumatera Selatan,2019,0.43985028146522837,0.27552091140758506,16
Sumatera Selatan,2020,0.24381153174155346,0.2810673062509369,16
Bengkulu,2010,0.0028963685646717354,0.44536051566481794,17
Bengkulu,2011,0.005304448677626996,0.42137610553140464,17
Bengkulu,2012,0.0169856376294268,0.42452405936141513,17
Bengkulu,2013,0.00908227559949634,0.43771548493479245,17
Bengkulu,2014,0.013195556577297332,0.4149302953080498,17
Bengkulu,2015,0.01132255140618684,0.4219757157847399,17
Bengkulu,2016,0.01189900335723426,0.41163243891470547,17
Bengkulu,2017,0.00192082939839595,0.37700494678459,17
Bengkulu,2018,0.011227521178007425,0.3590166391845301,17
Bengkulu,2019,0.00896545289101649,0.3485234597511618,17
Bengkulu,2020,0.0,0.35137160845450455,17
Lampung,2010,0.046881939867238535,0.46454804377154857,18
Lampung,2011,0.04828672686484237,0.40428721331134765,18
Lampung,2012,0.05532121586054509,0.3738569929545795,18
Lampung,2013,0.052957802604375825,0.33518213161445065,18
Lampung,2014,0.13134394115615225,0.3237895368010793,18
Lampung,2015,0.05454898485901744,0.3146454804377155,18
Lampung,2016,0.05510737576762742,0.318692849647729,18
Lampung,2017,0.05417445006333729,0.2974066856543247,18
Lampung,2018,0.10399546027528915,0.2887123369809624,18
Lampung,2019,0.04289524074309752,0.27027432169090093,18
Lampung,2020,0.07516319189579387,0.27297256783090995,18
Kepulauan Bangka Belitung,2010,0.006280076161958711,0.09189027132363964,19
Kepulauan Bangka Belitung,2011,0.007322648732684472,0.06910508169689702,19
Kepulauan Bangka Belitung,2012,0.021018482937790618,0.060110927896867054,19
Kepulauan Bangka Belitung,2013,0.009961790959463514,0.053515215110178406,19
